Gene1,Gene2
AAEL010168,AAEL009394
AAEL009922,AAEL009383
AAEL004668,AAEL011012
AAEL001378,AAEL002975
AAEL002761,AAEL004680
AAEL015181,AAEL001422
AAEL008508,AAEL010419
AAEL012035,AAEL007184
AAEL010514,AAEL005309
AAEL005077,AAEL011739
AAEL011383,AAEL001451
AAEL011953,AAEL008577
AAEL013518,AAEL005400
AAEL005120,AAEL005400
AAEL012427,AAEL003246
AAEL008703,AAEL013151
AAEL009220,AAEL009220
AAEL010294,AAEL004846
AAEL012156,AAEL006299
AAEL004291,AAEL010419
AAEL009914,AAEL014169
AAEL011093,AAEL010514
AAEL006265,AAEL014825
AAEL011273,AAEL012973
AAEL006523,AAEL007589
AAEL005343,AAEL006651
AAEL002885,AAEL001476
AAEL004173,AAEL007065
AAEL002016,AAEL002064
AAEL002885,AAEL007658
AAEL003013,AAEL012475
AAEL006460,AAEL007658
AAEL013461,AAEL000378
AAEL000568,AAEL007065
AAEL002277,AAEL002277
AAEL006107,AAEL008073
AAEL006107,AAEL009701
AAEL010342,AAEL002714
AAEL012071,AAEL013858
AAEL014718,AAEL012071
AAEL008641,AAEL001193
AAEL008692,AAEL001416
AAEL002016,AAEL009589
AAEL004586,AAEL000128
AAEL006419,AAEL008888
AAEL004586,AAEL009882
AAEL010342,AAEL010342
AAEL014394,AAEL004494
AAEL006107,AAEL002769
AAEL013786,AAEL004494
AAEL013939,AAEL012723
AAEL002714,AAEL002714
AAEL002118,AAEL003877
AAEL008306,AAEL013823
AAEL001574,AAEL004668
AAEL006419,AAEL014528
AAEL004586,AAEL004838
AAEL006712,AAEL002714
AAEL004567,AAEL000378
AAEL003444,AAEL000081
AAEL004586,AAEL005009
AAEL012723,AAEL008585
AAEL002415,AAEL000378
AAEL001603,AAEL012466
AAEL008306,AAEL013824
AAEL003013,AAEL008634
AAEL005655,AAEL003758
AAEL000084,AAEL004653
AAEL002415,AAEL002678
AAEL010744,AAEL011058
AAEL010744,AAEL013094
AAEL007120,AAEL013094
AAEL007120,AAEL011058
AAEL012507,AAEL004427
AAEL002832,AAEL006502
AAEL006063,AAEL001506
AAEL013212,AAEL004427
AAEL007100,AAEL012413
AAEL010821,AAEL003530
AAEL005436,AAEL011865
AAEL014169,AAEL013061
AAEL013778,AAEL002184
AAEL008641,AAEL013997
AAEL010077,AAEL011782
AAEL001619,AAEL006697
AAEL014038,AAEL014038
AAEL009981,AAEL003393
AAEL002261,AAEL002261
AAEL004056,AAEL011529
AAEL009981,AAEL002827
AAEL010003,AAEL009469
AAEL010842,AAEL010244
AAEL001331,AAEL011912
AAEL004056,AAEL010572
AAEL015536,AAEL013800
AAEL000699,AAEL000755
AAEL010514,AAEL013914
AAEL011413,AAEL003103
AAEL011438,AAEL003215
