#IDA	IDB
AC3.3	F29G6.3
AC3.3	R05F9.10
AC3.3	Y69H2.3
AC3.7	Y40B10A.2
B0001.4	F19B6.1
B0001.7	B0281.5
B0001.7	F37H8.1
B0024.10	C06A1.1
B0024.12	C06E2.1
B0024.14	B0228.1
B0024.14	C05G6.1
B0024.14	DH11.4
B0024.14	F48G7.10
B0024.14	K08E7.5
B0024.14	T21D12.11
B0024.14	Y69H2.10
B0024.14	Y69H2.3
B0024.9	F12F6.7
B0034.1	F17E9.5
B0034.1	F25D7.1
B0034.1	F45H10.4
B0034.1	Y23H5A.4
B0034.1	Y38C1AA.7
B0034.3	T19C3.8
B0035.1	K09B11.9
B0035.1	R02F2.5
B0035.6	D2007.2
B0035.6	ZK1225.6
B0041.4	Y40B10A.2
B0041.6	B0041.6
B0041.6	CC4.3
B0205.3	Y69H2.10
B0205.3	Y69H2.3
B0205.3	ZK1053.5
B0205.7	T01G9.6
B0205.7	Y54E10A.3
B0205.8	W05H7.4
B0213.12	ZK899.3
B0213.2	F52H2.5
B0213.2	T19D7.2
B0213.2	Y75D11A.3
B0228.1	F20C5.6
B0228.1	Y43F8C.4
B0238.11	C18G1.2
B0261.7	C36B1.11
B0272.1	T11B7.1
B0273.3	Y39E4B.2
B0280.3	B0280.3
B0280.3	F37B1.4
B0280.3	ZK632.1
B0281.5	B0281.5
B0286.4	C49A1.4
B0286.4	Y56A3A.1
B0303.7	C02C6.1
B0304.1	F54D10.7
B0310.6	K11G9.6
B0334.1	F52E1.7
B0336.3	C17E4.5
B0336.7	C27B7.1
B0336.7	T08E11.4
B0336.7	Y57A10B.6
B0348.6	F56F3.1
B0348.6	T14G10.8
B0348.6	Y18D10A.8
B0350.2	C11E4.6
B0350.2	Y59A8B.12
B0391.11	F46A9.5
B0393.4	T11B7.1
B0393.4	Y54E2A.3
B0393.4	ZK858.4
B0412.1	C27B7.1
B0412.1	F19H8.3
B0412.1	F54D10.7
B0414.8	C13F10.2
B0414.8	F08C6.3
B0414.8	F15C11.1
B0491.3	Y106G6H.13
B0507.3	F46C8.5
B0511.10	K02E7.9
B0511.8	C50F4.1
B0513.1	T23B5.1
B0513.2	Y32H12A.2
B0554.4	M117.2
B0563.4	C14B1.2
B0564.1	C52B11.2
C01B10.8	Y113G7B.23
C01B7.4	C04A11.4
C01B7.4	F10C1.1
C01B7.4	F38C2.5
C01B7.4	H25P06.2
C01B7.4	T25B6.4
C01C10.2	C02F5.1
C01C10.2	T07G12.6
C01F6.5	T20G5.11
C01F6.8	T28D9.10
C01F6.8	Y116A8C.42
C01F6.8	Y49E10.15
C01F6.8	Y71F9B.4
C01F6.9	Y40B10A.2
